Transaction_ID,Transaction_Date,Amount,Transaction_Type
8589934592,2024-03-30T13:38:19.541+03:00,22.52,Deposit
8589934593,2024-02-26T16:46:19.066+03:00,914.64,Deposit
8589934594,2024-01-20T17:46:39.917+03:00,691.19,Withdrawal
8589934595,2024-01-21T08:12:01.286+03:00,604.99,Deposit
8589934596,2024-04-19T15:00:36.499+03:00,225.41,Deposit
8589934597,2024-03-24T02:26:13.727+03:00,178.25,Transfer
8589934598,2024-03-27T14:17:15.798+03:00,506.0,Deposit
8589934599,2024-03-20T13:16:02.046+03:00,335.61,Withdrawal
8589934600,2024-02-28T01:55:37.226+03:00,507.74,Withdrawal
8589934601,2024-02-24T05:23:40.048+03:00,225.51,Deposit
8589934602,2024-02-24T05:02:49.256+03:00,135.25,Transfer
8589934603,2024-02-01T05:16:35.395+03:00,72.33,Transfer
8589934604,2024-03-28T21:04:52.260+03:00,196.81,Deposit
8589934605,2024-01-21T23:37:41.647+03:00,244.65,Deposit
8589934606,2024-02-14T10:32:19.391+03:00,603.84,Deposit
8589934607,2024-04-02T05:27:50.402+03:00,748.79,Withdrawal
8589934608,2024-03-27T10:25:45.359+03:00,615.03,Withdrawal
8589934609,2024-04-19T04:27:37.791+03:00,432.41,Withdrawal
8589934610,2024-04-15T06:08:18.995+03:00,476.41,Withdrawal
8589934611,2024-01-26T01:00:39.002+03:00,240.28,Withdrawal
8589934612,2024-04-11T15:25:25.813+03:00,185.57,Withdrawal
8589934613,2024-01-23T02:27:32.027+03:00,881.53,Deposit
8589934614,2024-04-15T23:33:02.005+03:00,449.55,Transfer
8589934615,2024-03-30T09:23:00.109+03:00,325.21,Deposit
8589934616,2024-03-22T23:09:37.068+03:00,673.76,Deposit
8589934617,2024-03-11T11:14:45.037+03:00,747.9,Transfer
8589934618,2024-01-28T20:56:55.984+03:00,792.1,Transfer
8589934619,2024-01-02T22:15:52.270+03:00,106.14,Deposit
8589934620,2024-03-25T10:36:40.674+03:00,676.34,Withdrawal
8589934621,2024-02-04T16:20:24.218+03:00,264.56,Transfer
8589934622,2024-01-01T19:53:39.936+03:00,629.05,Transfer
8589934623,2024-04-20T10:06:45.461+03:00,495.46,Deposit
8589934624,2024-01-11T16:48:33.390+03:00,766.11,Deposit
8589934625,2024-02-07T06:19:25.745+03:00,989.6,Withdrawal
8589934626,2024-02-08T14:54:40.911+03:00,511.17,Withdrawal
8589934627,2024-02-15T09:31:17.944+03:00,860.3,Transfer
8589934628,2024-01-15T18:14:23.349+03:00,646.09,Deposit
8589934629,2024-01-15T18:07:35.743+03:00,206.21,Withdrawal
8589934630,2024-03-23T12:29:17.964+03:00,534.92,Withdrawal
8589934631,2024-04-14T05:55:32.147+03:00,600.89,Transfer
8589934632,2024-01-28T16:54:37.725+03:00,633.29,Withdrawal
8589934633,2024-03-13T03:44:37.158+03:00,379.94,Withdrawal
8589934634,2024-01-31T07:57:16.641+03:00,52.4,Withdrawal
8589934635,2024-03-26T07:08:00.181+03:00,60.59,Withdrawal
8589934636,2024-02-06T21:33:01.805+03:00,582.39,Transfer
8589934637,2024-03-21T06:52:28.774+03:00,899.05,Withdrawal
8589934638,2024-01-11T22:44:06.258+03:00,944.51,Withdrawal
8589934639,2024-04-04T16:17:24.463+03:00,479.67,Transfer
8589934640,2024-02-15T14:01:24.725+03:00,670.78,Withdrawal
8589934641,2024-02-29T16:47:49.537+03:00,248.5,Withdrawal
8589934642,2024-02-04T18:33:04.419+03:00,785.28,Withdrawal
8589934643,2024-02-02T21:52:54.113+03:00,264.46,Deposit
8589934644,2024-02-04T09:50:15.036+03:00,842.67,Withdrawal
