Transaction_ID,Transaction_Date,Amount,Transaction_Type
94489280512,2024-01-30T11:31:07.539+03:00,86.07,Withdrawal
94489280513,2024-03-17T20:48:54.212+03:00,132.4,Deposit
94489280514,2024-02-11T17:57:45.294+03:00,548.57,Withdrawal
94489280515,2024-01-22T14:29:49.749+03:00,345.92,Withdrawal
94489280516,2024-03-27T19:54:07.165+03:00,331.05,Withdrawal
94489280517,2024-04-02T08:58:24.453+03:00,61.87,Withdrawal
94489280518,2024-01-28T03:37:10.344+03:00,603.36,Withdrawal
94489280519,2024-03-11T20:30:27.485+03:00,803.48,Transfer
94489280520,2024-02-18T00:32:11.320+03:00,500.16,Deposit
94489280521,2024-03-20T23:43:01.769+03:00,942.66,Transfer
94489280522,2024-01-03T07:55:43.343+03:00,300.08,Transfer
94489280523,2024-03-20T14:15:36.972+03:00,869.49,Transfer
94489280524,2024-02-21T18:47:30.453+03:00,614.51,Withdrawal
94489280525,2024-04-28T17:26:39.629+03:00,725.56,Withdrawal
94489280526,2024-01-14T14:19:02.895+03:00,922.5,Transfer
94489280527,2024-01-31T04:05:51.208+03:00,200.85,Transfer
94489280528,2024-04-09T23:21:34.379+03:00,586.57,Transfer
94489280529,2024-02-05T06:26:05.876+03:00,886.17,Withdrawal
94489280530,2024-01-08T12:45:57.772+03:00,498.0,Deposit
94489280531,2024-01-03T04:15:05.071+03:00,582.65,Withdrawal
94489280532,2024-02-08T01:11:20.462+03:00,946.14,Transfer
94489280533,2024-04-18T11:31:44.354+03:00,552.76,Transfer
94489280534,2024-04-01T19:43:28.588+03:00,404.85,Deposit
94489280535,2024-03-22T20:42:12.382+03:00,217.14,Withdrawal
94489280536,2024-01-29T15:12:22.277+03:00,42.25,Withdrawal
94489280537,2024-01-21T09:27:59.178+03:00,611.93,Transfer
94489280538,2024-04-03T19:08:09.018+03:00,374.22,Withdrawal
94489280539,2024-03-29T06:17:50.355+03:00,926.66,Transfer
94489280540,2024-04-10T13:24:30.953+03:00,521.02,Withdrawal
94489280541,2024-02-05T08:27:18.630+03:00,200.47,Deposit
94489280542,2024-02-07T20:38:06.876+03:00,388.82,Transfer
94489280543,2024-01-10T13:58:11.727+03:00,173.6,Withdrawal
94489280544,2024-01-31T21:04:51.306+03:00,811.23,Deposit
94489280545,2024-03-17T10:07:05.950+03:00,339.0,Withdrawal
94489280546,2024-03-04T13:33:16.302+03:00,164.45,Withdrawal
94489280547,2024-01-14T16:01:25.479+03:00,81.23,Withdrawal
94489280548,2024-03-28T05:59:01.406+03:00,120.46,Deposit
94489280549,2024-03-07T16:13:27.098+03:00,318.29,Withdrawal
94489280550,2024-03-24T12:47:29.555+03:00,431.25,Transfer
94489280551,2024-04-10T13:55:30.684+03:00,238.59,Withdrawal
94489280552,2024-02-17T20:12:11.440+03:00,854.92,Transfer
94489280553,2024-01-24T21:57:33.299+03:00,289.61,Deposit
94489280554,2024-04-25T18:09:29.300+03:00,546.5,Transfer
94489280555,2024-02-11T02:07:42.740+03:00,899.95,Deposit
94489280556,2024-04-16T23:11:42.521+03:00,766.7,Withdrawal
94489280557,2024-01-12T02:34:56.471+03:00,781.55,Withdrawal
94489280558,2024-01-07T21:05:20.963+03:00,977.42,Withdrawal
94489280559,2024-04-14T20:49:30.758+03:00,898.11,Withdrawal
94489280560,2024-04-10T17:26:08.925+03:00,245.04,Deposit
94489280561,2024-04-22T04:20:17.752+03:00,942.34,Deposit
94489280562,2024-03-11T03:25:04.398+03:00,589.36,Transfer
94489280563,2024-02-12T02:04:41.844+03:00,35.09,Transfer
94489280564,2024-02-15T15:36:06.766+03:00,961.41,Transfer
94489280565,2024-03-31T07:00:23.489+03:00,376.15,Deposit
94489280566,2024-02-03T00:17:37.336+03:00,455.83,Transfer
94489280567,2024-01-13T03:54:46.492+03:00,735.88,Withdrawal
94489280568,2024-04-21T02:10:54.104+03:00,972.38,Withdrawal
94489280569,2024-02-02T21:00:13.983+03:00,450.98,Withdrawal
94489280570,2024-04-01T10:16:27.056+03:00,510.95,Deposit
94489280571,2024-04-22T18:17:56.716+03:00,872.15,Deposit
94489280572,2024-01-30T23:35:52.480+03:00,646.01,Withdrawal
94489280573,2024-03-13T09:59:30.565+03:00,159.24,Transfer
94489280574,2024-03-16T21:38:44.535+03:00,876.97,Transfer
94489280575,2024-01-27T13:03:15.802+03:00,934.82,Deposit
